task,implant_type,model_type,architecture,accuracy
doorway,6_20,streaky,vit_base_patch16_224.dino,1.0
doorway,6_20,streaky,vit_base_patch16_224.mae,1.0
doorway,6_20,streaky,vit_base_patch16_clip_224.openai,1.0
doorway,6_20,streaky,vit_base_patch8_224.dino,1.0
doorway,6_20,streaky,vit_small_patch16_224.dino,1.0
doorway,9_10,pointy,convnext_nano.in12k,0.9010416666666667
doorway,9_10,pointy,convnext_nano.in12k_ft_in1k,0.8888888888888888
doorway,9_10,pointy,convnext_small.in12k,0.9288194444444444
doorway,9_10,pointy,convnext_tiny.in12k,0.9461805555555556
doorway,9_10,pointy,convnext_tiny.in12k_ft_in1k,0.9392361111111112
doorway,9_10,pointy,convnextv2_tiny.fcmae,0.9444444444444444
doorway,9_10,pointy,efficientnet_b0.ra_in1k,0.9479166666666666
doorway,9_10,pointy,efficientnet_b3.ra2_in1k,0.9513888888888888
doorway,9_10,pointy,mobilenetv2_100.ra_in1k,0.9618055555555556
doorway,9_10,pointy,regnety_040.ra3_in1k,0.9826388888888888
doorway,9_10,pointy,regnety_064.ra3_in1k,0.9826388888888888
doorway,9_10,pointy,regnety_080.ra3_in1k,0.9826388888888888
doorway,9_10,pointy,resnet101.a1h_in1k,0.9479166666666666
doorway,9_10,pointy,resnet18.a1_in1k,0.9513888888888888
doorway,9_10,pointy,resnet18d.ra2_in1k,0.9652777777777778
doorway,9_10,pointy,resnet50.a1_in1k,0.9444444444444444
doorway,9_10,pointy,resnet50.a1h_in1k,0.9618055555555556
doorway,9_10,pointy,resnet50d.a1_in1k,0.9305555555555556
doorway,9_10,pointy,vgg11_bn.tv_in1k,0.984375
doorway,9_10,pointy,vgg13_bn.tv_in1k,0.9791666666666666
doorway,9_10,pointy,vgg16_bn.tv_in1k,0.9722222222222222
doorway,9_10,pointy,vgg19_bn.tv_in1k,0.9791666666666666
doorway,9_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,9_10,pointy,vit_base_patch16_224.dino,1.0
doorway,9_10,pointy,vit_base_patch16_224.mae,1.0
doorway,9_10,pointy,vit_base_patch16_clip_224.openai,1.0
doorway,9_10,pointy,vit_base_patch8_224.dino,1.0
doorway,9_10,pointy,vit_small_patch16_224.dino,1.0
doorway,9_10,streaky,convnext_nano.in12k,0.9826388888888888
doorway,9_10,streaky,convnext_nano.in12k_ft_in1k,0.9774305555555556
doorway,9_10,streaky,convnext_small.in12k,0.9878472222222223
doorway,9_10,streaky,convnext_tiny.in12k,0.984375
