architecture,optimal_sigma,task,implant_type,model_type,accuracy
ViT Large,10.736500689262822,shape,6_15,pointy,0.6909232288828338
ViT Large,10.736500689262822,shape,6_15,streaky,0.6444234699453552
ViT Large,10.736500689262822,shape,6_20,pointy,0.6996552465753425
ViT Large,10.736500689262822,shape,6_20,streaky,0.6801136717663422
ViT Large,10.736500689262822,shape,9_10,pointy,0.6753268630136986
ViT Large,10.736500689262822,shape,9_10,streaky,0.6649818707015129
ViT Small,8.411181398026391,shape,12_10,pointy,0.6938881929347824
ViT Small,8.411181398026391,shape,12_10,streaky,0.6888986620689656
ViT Small,8.411181398026391,shape,12_20,pointy,0.7147726057298772
ViT Small,8.411181398026391,shape,12_20,streaky,0.7082847317744154
ViT Small,8.411181398026391,shape,6_10,pointy,0.6473364109589042
