task,implant_type,model_type,run,accuracy,chance,accuracy_above_chance
doorway,12_10,pointy,ABa,0.8611111111111112,0.5,0.7222222222222223
doorway,12_10,pointy,ANa,0.9201388888888888,0.5,0.8402777777777777
doorway,12_10,pointy,AWa,0.8472222222222222,0.5,0.6944444444444444
doorway,12_10,pointy,AZa,0.8541666666666666,0.5,0.7083333333333333
doorway,12_10,pointy,BAa,0.8784722222222222,0.5,0.7569444444444444
doorway,12_10,pointy,GNa,0.8958333333333334,0.5,0.7916666666666667
doorway,12_10,pointy,GSa,0.8333333333333334,0.5,0.6666666666666667
doorway,12_10,pointy,JHa,0.9097222222222222,0.5,0.8194444444444444
doorway,12_10,pointy,KMa,0.8993055555555556,0.5,0.7986111111111112
doorway,12_10,pointy,LEa,0.8194444444444444,0.5,0.6388888888888888
doorway,12_10,pointy,NHa,0.8194444444444444,0.5,0.6388888888888888
doorway,12_10,pointy,URa,0.9409722222222222,0.5,0.8819444444444444
doorway,12_10,streaky,ABa,0.8576388888888888,0.5,0.7152777777777777
doorway,12_10,streaky,ANa,0.9097222222222222,0.5,0.8194444444444444
doorway,12_10,streaky,AWa,0.8576388888888888,0.5,0.7152777777777777
doorway,12_10,streaky,AZa,0.8159722222222222,0.5,0.6319444444444444
doorway,12_10,streaky,BAa,0.8611111111111112,0.5,0.7222222222222223
doorway,12_10,streaky,GNa,0.8645833333333334,0.5,0.7291666666666667
doorway,12_10,streaky,GSa,0.7881944444444444,0.5,0.5763888888888888
doorway,12_10,streaky,JHa,0.8888888888888888,0.5,0.7777777777777777
doorway,12_10,streaky,KMa,0.8576388888888888,0.5,0.7152777777777777
doorway,12_10,streaky,LEa,0.8368055555555556,0.5,0.6736111111111112
doorway,12_10,streaky,NHa,0.9305555555555556,0.5,0.8611111111111112
doorway,12_10,streaky,URa,0.8090277777777778,0.5,0.6180555555555556
doorway,12_20,pointy,ABa,0.9513888888888888,0.5,0.9027777777777777
doorway,12_20,pointy,ANa,0.9618055555555556,0.5,0.9236111111111112
doorway,12_20,pointy,AWa,0.9097222222222222,0.5,0.8194444444444444
