task,architecture,implant_type,model_type,sigma
doorway,VGG11,6_20,streaky,1.1064282999745565
doorway,VGG11,9_10,pointy,0.9435367162070675
doorway,VGG11,9_10,streaky,0.9977910522768925
doorway,VGG13,12_10,pointy,1.0181567875952853
doorway,VGG13,12_10,streaky,1.0396248793947103
doorway,VGG13,12_20,pointy,1.0967010963531498
doorway,VGG13,12_20,streaky,1.0323210100437827
doorway,VGG13,6_10,pointy,0.9697076350915227
doorway,VGG13,6_10,streaky,0.8661118450700817
doorway,VGG13,6_15,pointy,1.2503886451925357
doorway,VGG13,6_15,streaky,1.0941592764889474
doorway,VGG13,6_20,pointy,1.1002326870607153
doorway,VGG13,6_20,streaky,1.2161565135711294
doorway,VGG13,9_10,pointy,0.9286515665008082
doorway,VGG13,9_10,streaky,1.1633464495825778
doorway,VGG16,12_10,pointy,0.9546435339969105
doorway,VGG16,12_10,streaky,1.2465066282909445
doorway,VGG16,12_20,pointy,1.0833199111627891
doorway,VGG16,12_20,streaky,0.9507200203752405
doorway,VGG16,6_10,pointy,1.045392397843591
doorway,VGG16,6_10,streaky,0.8896972446067759
doorway,VGG16,6_15,pointy,1.181491440364681
doorway,VGG16,6_15,streaky,1.1181058436065987
doorway,VGG16,6_20,pointy,1.2847182086720847
doorway,VGG16,6_20,streaky,1.0249226639671574
doorway,VGG16,9_10,pointy,0.9321223468232411
doorway,VGG16,9_10,streaky,1.0098091804637437
doorway,VGG19,12_10,pointy,0.9344397792512178
doorway,VGG19,12_10,streaky,1.1105155825755826
doorway,VGG19,12_20,pointy,1.0110067243937433
doorway,VGG19,12_20,streaky,0.9780948004899969
doorway,VGG19,6_10,pointy,0.915600016623533
doorway,VGG19,6_10,streaky,0.9260320552049571
doorway,VGG19,6_15,pointy,1.1258243239406711
doorway,VGG19,6_15,streaky,1.0746016864937256
doorway,VGG19,6_20,pointy,1.0329658249485623
doorway,VGG19,6_20,streaky,0.9477414749504685
doorway,VGG19,9_10,pointy,0.8782638704555873
doorway,VGG19,9_10,streaky,0.9493191783273628
doorway,ViT Base,12_10,pointy,1.0303307616254913
doorway,ViT Base,12_10,streaky,1.2947625589532326
doorway,ViT Base,12_20,pointy,1.2759295520964113
doorway,ViT Base,12_20,streaky,0.973557841820247
doorway,ViT Base,6_10,pointy,1.200181020160852
doorway,ViT Base,6_10,streaky,0.9781632432457456
doorway,ViT Base,6_15,pointy,1.079332325708642
doorway,ViT Base,6_15,streaky,1.3125382406497683
doorway,ViT Base,6_20,pointy,1.1187412371175423
doorway,ViT Base,6_20,streaky,1.217015628689661
doorway,ViT Base,9_10,pointy,0.9802068199281873
doorway,ViT Base,9_10,streaky,1.039315334170964
doorway,ViT Large,12_10,pointy,1.3283728540570123
doorway,ViT Large,12_10,streaky,1.5295161787418947
doorway,ViT Large,12_20,pointy,1.244169135665211
doorway,ViT Large,12_20,streaky,1.5622672742602628
doorway,ViT Large,6_10,pointy,1.511128282986312
doorway,ViT Large,6_10,streaky,1.242584822916958
doorway,ViT Large,6_15,pointy,1.3651101887932837
doorway,ViT Large,6_15,streaky,1.4225101286180784
doorway,ViT Large,6_20,pointy,1.3740715940680184
doorway,ViT Large,6_20,streaky,1.3405027797866915
doorway,ViT Large,9_10,pointy,1.635797789622833
doorway,ViT Large,9_10,streaky,1.5635372803349528
doorway,ViT Small,12_10,pointy,0.7924786799752462
doorway,ViT Small,12_10,streaky,0.7353697481088868
doorway,ViT Small,12_20,pointy,0.820094599400384
doorway,ViT Small,12_20,streaky,0.7619714834867095
doorway,ViT Small,6_10,pointy,0.819363355897232
doorway,ViT Small,6_10,streaky,0.740335450949155
doorway,ViT Small,6_15,pointy,0.7874593621793452
doorway,ViT Small,6_15,streaky,0.7226778897755592
doorway,ViT Small,6_20,pointy,0.870839714523064
doorway,ViT Small,6_20,streaky,0.7083523470811712
doorway,ViT Small,9_10,pointy,0.8870421857919486
doorway,ViT Small,9_10,streaky,0.8044669859858913
emotion,ConvNeXt Base,12_20,pointy,2.816112099718802
emotion,ConvNeXt Base,12_20,streaky,3.102424551389188
emotion,ConvNeXt Base,6_15,pointy,3.238365298837369
emotion,ConvNeXt Base,6_15,streaky,3.164922260032416
emotion,ConvNeXt Large,12_20,pointy,2.6637621386578747
emotion,ConvNeXt Large,12_20,streaky,2.7001122768357337
emotion,ConvNeXt Large,6_15,pointy,3.3116760091220985
emotion,ConvNeXt Large,6_15,streaky,3.088097620960604
emotion,ConvNeXt Small,12_20,pointy,3.5603763184191486
emotion,ConvNeXt Small,12_20,streaky,3.6221748397830784
emotion,ConvNeXt Small,6_15,pointy,3.4977388689996687
emotion,ConvNeXt Small,6_15,streaky,3.0675389198659038
emotion,ConvNeXt Tiny,12_20,pointy,2.9560762126366353
emotion,ConvNeXt Tiny,12_20,streaky,3.03681986576667
emotion,ConvNeXt Tiny,6_15,pointy,3.360824546388939
emotion,ConvNeXt Tiny,6_15,streaky,3.1987795457610275
emotion,DINOv3 ViT Base,12_20,pointy,2.8650061460421994
emotion,DINOv3 ViT Base,12_20,streaky,2.3956536189667843
emotion,DINOv3 ViT Base,6_15,pointy,1.5021096294536807
emotion,DINOv3 ViT Base,6_15,streaky,2.2127282169983067
emotion,ResNet18,12_20,pointy,0.4608542858484575
