task,implant_type,model_type,architecture,method,run,accuracy,chance,accuracy_above_chance
doorway,12_10,pointy,ConvNeXt Base,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Base,head_model,1,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Base,head_model,2,0.9548611111111112,0.5,0.9097222222222223
doorway,12_10,pointy,ConvNeXt Base,head_model,3,0.9513888888888888,0.5,0.9027777777777777
doorway,12_10,pointy,ConvNeXt Base,head_model,4,0.9548611111111112,0.5,0.9097222222222223
doorway,12_10,pointy,ConvNeXt Base,head_model,5,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Base,head_model,6,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Base,head_model,7,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Base,head_model,8,0.9513888888888888,0.5,0.9027777777777777
doorway,12_10,pointy,ConvNeXt Base,head_model,9,0.9548611111111112,0.5,0.9097222222222223
doorway,12_10,pointy,ConvNeXt Base,head_model,10,0.9340277777777778,0.5,0.8680555555555556
doorway,12_10,pointy,ConvNeXt Large,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Large,head_model,1,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Large,head_model,2,0.9479166666666666,0.5,0.8958333333333333
doorway,12_10,pointy,ConvNeXt Large,head_model,3,0.90625,0.5,0.8125
doorway,12_10,pointy,ConvNeXt Large,head_model,4,0.9548611111111112,0.5,0.9097222222222223
doorway,12_10,pointy,ConvNeXt Large,head_model,5,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Large,head_model,6,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Large,head_model,7,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Large,head_model,8,0.9583333333333334,0.5,0.9166666666666667
doorway,12_10,pointy,ConvNeXt Large,head_model,9,0.9548611111111112,0.5,0.9097222222222223
doorway,12_10,pointy,ConvNeXt Large,head_model,10,0.9548611111111112,0.5,0.9097222222222223
doorway,12_10,pointy,ConvNeXt Small,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Small,head_model,1,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ConvNeXt Small,head_model,2,0.9826388888888888,0.5,0.9652777777777777
doorway,12_10,pointy,ConvNeXt Small,head_model,3,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ConvNeXt Small,head_model,4,0.9861111111111112,0.5,0.9722222222222223
doorway,12_10,pointy,ConvNeXt Small,head_model,5,0.9861111111111112,0.5,0.9722222222222223
doorway,12_10,pointy,ConvNeXt Small,head_model,6,0.9861111111111112,0.5,0.9722222222222223
doorway,12_10,pointy,ConvNeXt Small,head_model,7,0.9861111111111112,0.5,0.9722222222222223
doorway,12_10,pointy,ConvNeXt Small,head_model,8,0.9861111111111112,0.5,0.9722222222222223
doorway,12_10,pointy,ConvNeXt Small,head_model,9,0.9826388888888888,0.5,0.9652777777777777
doorway,12_10,pointy,ConvNeXt Small,head_model,10,0.9861111111111112,0.5,0.9722222222222223
doorway,12_10,pointy,ConvNeXt Tiny,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ConvNeXt Tiny,head_model,1,0.9756944444444444,0.5,0.9513888888888888
doorway,12_10,pointy,ConvNeXt Tiny,head_model,2,0.9722222222222222,0.5,0.9444444444444444
doorway,12_10,pointy,ConvNeXt Tiny,head_model,3,0.9444444444444444,0.5,0.8888888888888888
doorway,12_10,pointy,ConvNeXt Tiny,head_model,4,0.9826388888888888,0.5,0.9652777777777777
doorway,12_10,pointy,ConvNeXt Tiny,head_model,5,0.9756944444444444,0.5,0.9513888888888888
doorway,12_10,pointy,ConvNeXt Tiny,head_model,6,0.96875,0.5,0.9375
doorway,12_10,pointy,ConvNeXt Tiny,head_model,7,0.9826388888888888,0.5,0.9652777777777777
doorway,12_10,pointy,ConvNeXt Tiny,head_model,8,0.96875,0.5,0.9375
doorway,12_10,pointy,ConvNeXt Tiny,head_model,9,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ConvNeXt Tiny,head_model,10,0.9826388888888888,0.5,0.9652777777777777
doorway,12_10,pointy,DINOv3 ViT Base,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,1,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,2,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,3,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,4,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,5,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,6,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,7,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,8,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,9,1.0,0.5,1.0
doorway,12_10,pointy,DINOv3 ViT Base,head_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ResNet18,head_model,1,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet18,head_model,2,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet18,head_model,3,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet18,head_model,4,0.9756944444444444,0.5,0.9513888888888888
doorway,12_10,pointy,ResNet18,head_model,5,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet18,head_model,6,0.9756944444444444,0.5,0.9513888888888888
doorway,12_10,pointy,ResNet18,head_model,7,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet18,head_model,8,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet18,head_model,9,0.9756944444444444,0.5,0.9513888888888888
doorway,12_10,pointy,ResNet18,head_model,10,0.9791666666666666,0.5,0.9583333333333333
doorway,12_10,pointy,ResNet50,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,ResNet50,head_model,1,0.96875,0.5,0.9375
doorway,12_10,pointy,ResNet50,head_model,2,0.96875,0.5,0.9375
doorway,12_10,pointy,ResNet50,head_model,3,0.9652777777777778,0.5,0.9305555555555556
doorway,12_10,pointy,ResNet50,head_model,4,0.9652777777777778,0.5,0.9305555555555556
doorway,12_10,pointy,ResNet50,head_model,5,0.96875,0.5,0.9375
doorway,12_10,pointy,ResNet50,head_model,6,0.96875,0.5,0.9375
doorway,12_10,pointy,ResNet50,head_model,7,0.9652777777777778,0.5,0.9305555555555556
doorway,12_10,pointy,ResNet50,head_model,8,0.9722222222222222,0.5,0.9444444444444444
doorway,12_10,pointy,ResNet50,head_model,9,0.96875,0.5,0.9375
doorway,12_10,pointy,ResNet50,head_model,10,0.96875,0.5,0.9375
doorway,12_10,pointy,VGG11,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,VGG11,head_model,1,0.9930555555555556,0.5,0.9861111111111112
doorway,12_10,pointy,VGG11,head_model,2,0.9930555555555556,0.5,0.9861111111111112
doorway,12_10,pointy,VGG11,head_model,3,0.9930555555555556,0.5,0.9861111111111112
doorway,12_10,pointy,VGG11,head_model,4,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG11,head_model,5,0.9930555555555556,0.5,0.9861111111111112
doorway,12_10,pointy,VGG11,head_model,6,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG11,head_model,7,0.9930555555555556,0.5,0.9861111111111112
doorway,12_10,pointy,VGG11,head_model,8,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG11,head_model,9,0.9895833333333334,0.5,0.9791666666666667
doorway,12_10,pointy,VGG11,head_model,10,0.9930555555555556,0.5,0.9861111111111112
doorway,12_10,pointy,VGG13,full_model,1,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,2,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,3,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,4,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,5,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,6,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,7,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,8,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,9,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,full_model,10,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,head_model,1,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG13,head_model,2,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,head_model,3,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,head_model,4,1.0,0.5,1.0
doorway,12_10,pointy,VGG13,head_model,5,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG13,head_model,6,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG13,head_model,7,0.9965277777777778,0.5,0.9930555555555556
doorway,12_10,pointy,VGG13,head_model,8,1.0,0.5,1.0
