task,implant_type,model_type,architecture,method,run,accuracy,chance,accuracy_above_chance
doorway,6_20,streaky,ResNet18,full_model,5,1.0,0.5,1.0
doorway,6_20,streaky,ResNet18,full_model,6,1.0,0.5,1.0
doorway,6_20,streaky,ResNet18,full_model,7,1.0,0.5,1.0
doorway,6_20,streaky,ResNet18,full_model,8,1.0,0.5,1.0
doorway,6_20,streaky,ResNet18,full_model,9,1.0,0.5,1.0
doorway,6_20,streaky,ResNet18,full_model,10,1.0,0.5,1.0
doorway,6_20,streaky,ResNet18,head_model,1,0.9826388888888888,0.5,0.9652777777777777
doorway,6_20,streaky,ResNet18,head_model,2,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet18,head_model,3,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet18,head_model,4,0.9826388888888888,0.5,0.9652777777777777
doorway,6_20,streaky,ResNet18,head_model,5,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet18,head_model,6,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet18,head_model,7,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet18,head_model,8,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet18,head_model,9,0.9756944444444444,0.5,0.9513888888888888
doorway,6_20,streaky,ResNet18,head_model,10,0.9722222222222222,0.5,0.9444444444444444
doorway,6_20,streaky,ResNet50,full_model,1,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,2,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,3,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,4,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,5,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,6,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,7,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,8,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,9,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,full_model,10,1.0,0.5,1.0
doorway,6_20,streaky,ResNet50,head_model,1,0.9930555555555556,0.5,0.9861111111111112
doorway,6_20,streaky,ResNet50,head_model,2,0.9930555555555556,0.5,0.9861111111111112
doorway,6_20,streaky,ResNet50,head_model,3,0.9930555555555556,0.5,0.9861111111111112
